"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","14,716,676","100"
"2","youtube.com","23,053,802","100"
"3","www.blogger.com","30,507,822","100"
"4","linkedin.com","12,276,990","99"
"5","microsoft.com","5,322,549","99"
"6","support.google.com","5,577,620","99"
"7","play.google.com","3,889,365","99"
"8","apple.com","6,593,101","99"
"9","maps.google.com","5,943,450","98"
"10","en.wikipedia.org","7,033,922","98"
"11","wordpress.org","12,214,591","98"
"12","docs.google.com","3,399,002","98"
"13","youtu.be","5,236,527","98"
"14","cloudflare.com","6,906,715","98"
"15","mozilla.org","2,469,076","98"
"16","plus.google.com","10,944,995","97"
"17","adobe.com","2,865,353","97"
"18","sites.google.com","2,265,620","97"
"19","whatsapp.com","4,019,418","97"
"20","europa.eu","2,293,298","97"
"21","bp.blogspot.com","18,044,037","97"
"22","accounts.google.com","2,539,374","97"
"23","drive.google.com","2,493,425","97"
"24","googleusercontent.com","3,551,943","97"
"25","policies.google.com","3,009,075","96"
"26","uol.com.br","688,371","96"
"27","istockphoto.com","3,658,916","96"
"28","vk.com","1,812,936","96"
"29","t.me","1,378,567","96"
"30","amazon.com","5,013,763","96"
"31","vimeo.com","3,566,796","96"
"32","facebook.com","59,296,319","96"
"33","github.com","2,933,060","96"
"34","www.yahoo.com","1,348,777","95"
"35","theguardian.com","1,592,378","95"
"36","search.google.com","1,572,640","95"
"37","news.google.com","839,155","95"
"38","brandbucket.com","11,157,053","95"
"39","live.com","993,955","95"
"40","creativecommons.org","1,743,895","95"
"41","line.me","975,333","95"
"42","dailymotion.com","1,132,865","95"
"43","google.es","479,959","95"
"44","nih.gov","1,494,369","95"
"45","who.int","2,026,193","95"
"46","wikimedia.org","2,078,100","95"
"47","netvibes.com","1,227,910","95"
"48","paypal.com","1,153,301","95"
"49","pt.wikipedia.org","421,177","95"
"50","imdb.com","1,531,960","95"
"51","fr.wikipedia.org","644,408","95"
"52","files.wordpress.com","7,662,444","95"
"53","ok.ru","369,284","95"
"54","globo.com","458,825","95"
"55","nytimes.com","2,197,532","95"
"56","gstatic.com","631,229","95"
"57","msn.com","1,100,409","95"
"58","enable-javascript.com","9,353,584","95"
"59","w3.org","1,129,578","95"
"60","developers.google.com","1,122,016","95"
"61","opera.com","981,652","95"
"62","draft.blogger.com","11,485,532","95"
"63","slideshare.net","1,004,699","95"
"64","jimdofree.com","1,712,582","95"
"65","tools.google.com","1,785,878","95"
"66","shopify.com","2,919,810","95"
"67","buydomains.com","1,184,893","95"
"68","google.com.br","298,483","95"
"69","www.weebly.com","5,561,531","95"
"70","medium.com","1,783,589","95"
"71","google.de","1,109,465","95"
"72","google.co.jp","657,174","95"
"73","cnn.com","1,657,185","95"
"74","bbc.com","918,195","95"
"75","feedburner.com","1,829,377","95"
"76","es.wikipedia.org","972,048","95"
"77","forbes.com","1,448,230","95"
"78","dropbox.com","1,106,525","95"
"79","gravatar.com","12,540,455","95"
